Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
12-Jun-24,EQ,7148.00,7277.00,7115.00,7138.10,7225.00,7217.75,7226.06,8192.00,6187.80,1268508.00,9166320923.85,112607.00
11-Jun-24,EQ,7083.00,7169.00,7051.00,7088.85,7149.00,7138.10,7130.46,8192.00,6187.80,1205213.00,8593720571.70,113947.00
10-Jun-24,EQ,7250.00,7250.00,7075.25,7191.40,7081.55,7088.85,7141.92,8192.00,6187.80,872318.00,6230023590.95,89665.00
07-Jun-24,EQ,6995.00,7299.00,6941.00,6925.80,7175.00,7191.40,7159.15,8192.00,6187.80,2984052.00,21363281429.45,225585.00
06-Jun-24,EQ,6850.00,7012.95,6822.30,6836.65,6924.00,6925.80,6932.58,8192.00,6187.80,1465716.00,10161191156.50,159320.00
05-Jun-24,EQ,6604.00,6862.00,6535.55,6509.55,6836.00,6836.65,6722.32,8192.00,6187.80,1218517.00,8191256807.30,135988.00
04-Jun-24,EQ,6915.95,6915.95,6375.70,6915.55,6550.00,6509.55,6622.74,8192.00,6187.80,3299387.00,21850987461.40,325423.00
03-Jun-24,EQ,6948.85,6988.70,6832.95,6697.70,6920.00,6915.55,6926.55,8192.00,6187.80,1148212.00,7953149496.25,109211.00
31-May-24,EQ,6664.95,6771.95,6642.40,6616.45,6732.50,6697.70,6708.89,8192.00,6187.80,2841733.00,19064883447.35,150667.00
30-May-24,EQ,6779.90,6798.95,6594.05,6806.70,6629.90,6616.45,6666.81,8192.00,6187.80,1155575.00,7703999997.40,150041.00
29-May-24,EQ,6878.00,6908.00,6785.35,6873.05,6791.65,6806.70,6854.68,8192.00,6187.80,721331.00,4944492572.10,60716.00
28-May-24,EQ,6913.95,6945.00,6856.90,6895.50,6880.00,6873.05,6900.63,8192.00,6187.80,752867.00,5195254896.95,89685.00
27-May-24,EQ,6859.00,6959.55,6810.00,6836.90,6895.00,6895.50,6904.55,8192.00,6187.80,655471.00,4525729414.85,71066.00
24-May-24,EQ,6820.00,6910.00,6793.00,6826.65,6828.80,6836.90,6863.45,8192.00,6187.80,742043.00,5092972278.55,82955.00
23-May-24,EQ,6759.55,6853.50,6730.05,6744.55,6825.00,6826.65,6801.70,8192.00,6187.80,709317.00,4824561943.30,89812.00
22-May-24,EQ,6777.45,6777.45,6727.25,6742.85,6754.00,6744.55,6752.79,8192.00,6187.80,416046.00,2809471430.75,44244.00
21-May-24,EQ,6705.00,6785.00,6705.00,6738.00,6755.00,6742.85,6738.25,8192.00,6187.80,761624.00,5132010176.80,83977.00
